Galaxy_ID,RA,Dec,Stellar Mass,Redshift,SFR,Scale length,F444W_Asymmetry_Median,F410M_Asymmetry_Median,F356W_Asymmetry_Median,F277W_Asymmetry_Median,F200W_Asymmetry_Median,F160W_Asymmetry_Median,F125W_Asymmetry_Median,F115W_Asymmetry_Median,F606W_Asymmetry_Median,F814W_Asymmetry_Median
10239,214.890069,52.829393,9.5,3.729,109.5,3.494949494949495,0.12896167605883005,0.14797533108704808,0.15667316799650507,0.162421915165727,0.3030133923936922,0.18109570946023074,0.1854361881475874,0.21715690605259502,0.17782524437709168,0.171753051211134
10464,214.901208,52.83813,10.5,2.46,58.92,3.3030303030303028,0.0518625389054741,0.05642158507609108,0.06542704097430957,0.12108046114546511,0.15023959397255277,0.19025483911489832,0.2031626320886036,0.1766687328449052,0.17936711882159184,0.19225554982215515
10990,214.898281,52.839508,9.47,4.438,0.8038,6.949494949494949,0.6611145638715683,0.5465298572751425,0.7882307690392267,0.8210981917943936,0.5231536564618091,0.127126571546243,0.1281369591929301,0.39288652123396917,0.09196943842894602,0.1731618106644023
11013,214.906372,52.845308,7.43,0.61,0.02754,5.03030303030303,0.20423185371686248,0.21161478029148284,0.3923194759898806,0.4320446658675112,0.34283329777268157,0.15092118480574324,0.15904929059143774,0.2869701597180943,0.17152715203473498,0.25014267737584384
11028,214.908192,52.846694,8.99,2.742,32.24,4.646464646464646,0.20109133767007692,0.22533381756458482,0.22993193422743477,0.2482075424713607,0.23324288999024873,0.13502865658304775,0.1328055373203128,0.2222534081277483,0.12500914788363557,0.13072906942551965
11097,214.906114,52.844422,10.6,1.531,2.488,4.454545454545454,0.17074331502300957,0.17615699493418846,0.18367459577313014,0.21170915641372995,0.38479095536720925,0.1684550735063966,0.17620976987015236,0.44114726345729205,0.23827180794590813,0.23618081740985325
11244,214.901424,52.842755,8.88,2.016,1.428,5.03030303030303,0.08479070441865841,0.09666530875238216,0.07377684372029547,0.08153337919212844,0.1622004596715433,0.153262218076556,0.15072319484623303,0.18766885352972618,0.1448030811118812,0.16332494787586094
11258,214.845699,52.803324,9.02,1.72,1.156,2.3434343434343434,0.34680274237506215,0.37696641006082926,0.4114359224387792,0.4151533646716853,0.30328572830498746,0.22798920966621478,0.22614300607353982,0.2845257928412485,0.22920377594365113,0.21374973240110134
11576,214.844884,52.803266,9.48,1.877,5.241,3.686868686868687,0.10543483574669946,0.10315482788423937,0.10708110796655976,0.11156288033600648,0.1445871616633969,0.09448784705536069,0.10950141470597136,0.15148475881687828,0.14189062624206386,0.12184205460323616
11608,214.836691,52.798734,7.11,0.745,0.2818,2.5353535353535355,0.11707697595085215,0.14365955465812774,0.1240428152623047,0.12989498868755334,0.13095673193689675,0.10428972088921912,0.10882258921863605,0.1364704805260365,0.13281389262778398,0.12062006742642908
